Title,Image,Description,Address,Zip,City,Area,Country,Slogan,Holes,Parking,since,video,Detail Url,Website,E-mail
Kragerup Gods – Fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/kragerup-fodboldgolf-758x564.jpg,"På Kragerup Gods har vi en stor, 18-hullers fodboldgolfbane, med i alt 2 sværhedsgrader. Her kan hele familien være med på den smukkeste fodboldgolfbane.",Kragerupgårdsvej 33,,4291Ruds Vedby,Vestsjælland,Danmark,Meget flot bane,18 hullers bane,"Ja, gratis",2014,https://www.youtube.com/embed/u9Nw4K8R7sY?feature=oembed,https://fodboldgolf.dk/baner/kragerup-fodboldgolf/,,
Langelands fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/langelandsfodbold-758x377.jpg,"Flot, teknisk, billig, og sjov 18 hullers fodboldgolfbane på Langeland",Langøvej 6,,5932 Humble,Øerne,Danmark,"Flot, teknisk, og sjov",18 hullers bane,"Ja, gratis",2010,,https://fodboldgolf.dk/baner/langelands-fodboldgolf/,,
Langesø fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Flot 18 hullers bane i smukke omgivelser,Langesøvej 139,,5462 Morud,Fyn,Danmark,Flot 18 hullers,18 hullers bane,"Ja, gratis",2017,,https://fodboldgolf.dk/baner/langesoe-fodboldgolf/,,
Loch Nees fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/loch-nees-fodboldgolf-758x450.jpg,"Udfordrende, overskuelig, brede baner, til hele familien",Sandbækvej 9,,7570 Vemb,Vestjylland,Danmark,Udfordrende baner,18 hullers bane,"Ja, gratis",2013,https://www.youtube.com/embed/lC5xEVBvfIk?feature=oembed,https://fodboldgolf.dk/baner/loch-nees-fodboldgolf/,,
Løgstør fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/loegstoer-fodboldgolf-758x516.jpg,Underholdende 18 hullers bane,Engelstrupvej 20,,9670 Løgstør,Nordjylland,Danmark,Sjov og udfordrende bane,18 hullers bane,"Ja, gratis",2010,https://www.youtube.com/embed/U43LgZxDYTE?feature=oembed,https://fodboldgolf.dk/baner/loegstoer-fodboldgolf/,,
Løkken fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Sjov 18 huller fodboldgolfbane,Trudslevvej 87,,9480 Løkken,Nordjylland,Danmark,Sjov bane i Nordjylland,18 hullers bane,"Ja, gratis",2011,,https://fodboldgolf.dk/baner/loekken-fodboldgolf/,https://www.loekkenfodboldgolf.dk/fo/,
Middelfart fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Flot 18 hullers ved Middelfart på Fyn.,Staurby Skovvej 25,,5500 Middelfart,Fyn,Danmark,Sjov i Middelfart,18 hullers bane,"Ja, gratis",2007,,https://fodboldgolf.dk/baner/middelfart-fodboldgolf/,,
Midtjydsk fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,18 hullers i flotte omgivelser,Munklindevej 39,,7441 Bording,Midtjylland,Danmark,Flot 18 hullers,18 hullers bane,"Ja, gratis",2006,,https://fodboldgolf.dk/baner/midtjysk-fodboldgolf/,,
Møn fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Lækker 18 hullers fodboldgolfbane,Grønsundvej 304,,4792 Askeby,Sydsjælland,Danmark,Lækker 18 hullers,18 hullers bane,"Ja, gratis",2017,,https://fodboldgolf.dk/baner/moen-fodboldgolf/,,
Naturligleg.dk fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/naturligleg.dk-fodboldgolf-758x550.jpg,Skæg 18 hullers bane,Regelvej 3,,9293 Kongerslev,Nordjylland,Danmark,Fodboldgolf i Nordjylland,18 hullers bane,"Ja, gratis",2017,,https://fodboldgolf.dk/baner/naturligleg-fodboldgolf/,,
Nordjysk Fodbold Golf,https://fodboldgolf.dk/wp-content/uploads/2020/09/nordjysk-fodboldgolf-758x499.jpg,"Nordjyllands fedeste fodboldgolf anlæg og der er mulighed for mange timers underholdning sammen med familie, venner eller firma arrangementer.",Engvej 39,,9430 Vadum,Nordjylland,Danmark,Sjov i Nordjylland,18 hullers bane,Gratis,2008,https://www.youtube.com/embed/YwVR41Qvvug?feature=oembed,https://fodboldgolf.dk/baner/nordjysk-fodbold-golf/,https://nordjyskfodboldgolf.dk/,
Nors fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/nors-fodboldgolf-758x564.jpg,Fed 18 hullers fodboldgolfbane,Norsvej 92,,7700 Thisted,Nordjylland,Danmark,Sjov bane,18 hullers bane,"Ja, gratis",2013,,https://fodboldgolf.dk/baner/nors-fodboldgolf/,,
Nymarksminde fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/nymarksminde-fodboldgolf.jpg,"Sjov bane, og adgang til bondegårdsdyr",Vestvej 91,,9310 Vodskov,Nordjylland,Danmark,Sjov bane 18 huller,18 hullers bane,"Ja, gratis",2010,,https://fodboldgolf.dk/baner/nymarksminde-fodboldgolf/,,
Odense fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Sjov bane i Odense,Bøllemosegyden 144,,5491 Blommenslyst,Fyn,Danmark,Underholdning i Odense,18 hullers bane,"Ja, gratis",2007,,https://fodboldgolf.dk/baner/odense-fodboldgolf/,,
Odsherred eventpark,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Underholdende fodboldgolfbane på 18 huller,Nykøbingvej 158,,4571 Grevinge,Vestsjælland,Danmark,Underholdning i Odsherred,18 hullers bane,"Ja, gratis",2013,,https://fodboldgolf.dk/baner/odsherred-eventpark/,http://www.odsherred-fodboldgolf.dk/,
Odsherred Fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/odsherred-fodboldgolf-758x564.jpg,18 hullers unik fodboldgolfbane med udsigt over den meget smukke Lammefjord. Muligvis Danmarks flotteste fodboldgolfbane.,Nykøbingvej 158,,4571 Grevinge,Vestsjælland,Danmark,Sjov i Odsherred,18 hullers bane,Ja,2018,https://www.youtube.com/embed/24GHB53TLiw?feature=oembed,https://fodboldgolf.dk/baner/odsherred-fodboldgolf/,,
Oksenvad fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/oksenvad-fodboldgolf-758x564.jpg,Fed 18 hullers bane,Øster Lindetvej 5,,6560 Sommersted,Sydjylland,Danmark,Fed 18 hullers,18 hullers bane,"Ja, gratis",2019,,https://fodboldgolf.dk/baner/oksenvad-fodboldgolf/,,
Oplev parken fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/oplev-parken-758x564.jpg,Spændende bane på 18 huller,Korsvej 4,,8530 Hjortshøj,Østjylland,Danmark,Sjov nær Århus,18 hullers bane,"Ja, gratis",2011,,https://fodboldgolf.dk/baner/oplev-parken-fodboldgolf/,,
Silkeborg fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Flot 18 hullers bane i Silkeborg,Sepstrupvej 36,,8653 Them,Midtjylland,Danmark,Fodboldgolf i Silkeborg,18 hullers bane,"Ja, gratis",2007,,https://fodboldgolf.dk/baner/silkeborg-fodboldgolf/,,
Skagen Fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/fodboldgolf-skagen-758x564.jpg,"Sjov fodboldgolfbane i Skagen, bestående af 18 huller med mange forskellige udfordringer af forskellig karakter.",Nedre Mosevej 108,,9990 Skagen,Nordjylland,Danmark,Skagen tema i flot natur,18 hullers bane,GRATIS,2016,https://www.youtube.com/embed/W-ZLTy2Hlvk?feature=oembed,https://fodboldgolf.dk/baner/skagen-fodboldgolf/,,
Skejby fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/skejby-fodboldgolf-758x564.jpg,Underholdende bane på 18 huller,Topkærvej 7,,8200 Aarhus N,Østjylland,Danmark,Underholdende 18 hullers,18 hullers bane,"Ja, gratis",2019,https://www.youtube.com/embed/uceW29dFAp0?feature=oembed,https://fodboldgolf.dk/baner/skejby-fodboldgolf/,,
Soccer World fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/fodboldgolf-soccerworld.dk_-758x564.jpg,Sjov og spændende 18 hullers bane,Nymindegabvej 200,,6855 Outrup,Vestjylland,Danmark,Sjov i Jylland,18 hullers bane,"Ja, gratis",2016,,https://fodboldgolf.dk/baner/soccer-world-fodboldgolf/,https://www.soccerworld.dk/,
Sunds Fodboldgolf,,,,,,,,,,,,,,https://www.herningfodboldgolf.dk/,
Til tops fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Sjov park med fodboldgolf på 18 huller,Brommevej 10,,3760 Gudhjem,Bornholm,Danmark,Sjov på Bornholm,18 hullers bane,"Ja, gratis",2016,,https://fodboldgolf.dk/baner/til-tops-fodboldgolf/,,
Uge Lystfiskeri Camping og Fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/uge-fodboldgolf1-758x564.jpg,"Banen er på sandjord og dermed tør og klar til at spille på. Banen ligger i forbindelse med camping og lystfiskeri. Der er mulighed for at grille overdækket borde bænke side plads. Priserne er 100 for voksne og 50 kr. for børn. Vi har åbent alle dage fra morgen til aften, idet der er mulighed for betaling via. mobilepay eller kontant. Det er tilladt at have hunde med i snor.

Der er mulighed for at købe is, og vi har mange forskellige faciliteter som f.eks. gratis WI-FI, trækvogn, overnatning, legeplads, hoppeborg, handicap toilet, bordtennis, grill, borde & bænke og bålplads.

Har du spørgsmål, kan du læse mere på vores hjemmeside eller vores facebookside. Du kan også ringe på telefon 74 64 44 98

Vi laver også firma arrangementer og  fødselsdage, så hvis du ønsker et sjovt og anderledes arrangement, så kontakt os for flere informationer.",Åbenråvej 95,,6360 Tinglev,Sydjylland,Danmark,Sjov i Sønderjylland,18 hullers bane,"Ja, gratis",2016,https://www.youtube.com/embed/BrVxAjzi23I?feature=oembed,https://fodboldgolf.dk/baner/uge-fodboldgolf/,https://uge-lystfiskeri.dk/fodboldgolf/,
Ulbjerg fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Flot 18 hullers bane i Jylland,Løgstørvej 68,,8832 Skals,Midtjylland,Danmark,Flot 18 hullers,18 hullers bane,"Ja, gratis",2010,,https://fodboldgolf.dk/baner/ulbjerg-fodboldgolf/,https://ulbjerg-fodboldgolf.dk/,
Vallensbæk fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Sjov fodboldgolfbane i Vallensbæk,Brøndbyvej 170,,2625 Vallensbæk,Storkøbenhavn,Danmark,Sjov i Vallensbæk,18 hullers bane,"Ja, gratis",2019,,https://fodboldgolf.dk/baner/vallensbaek-fodboldgolf/,,
Vandel fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Flot 18 hullers bane,Tårnvej 8,,7184 Vandel,Sydjylland,Danmark,Udfordrende bane,18 hullers bane,"Ja, gratis",2008,,https://fodboldgolf.dk/baner/vandel-fodboldgolf/,,
Varde fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/varde-fodboldgolf-758x533.jpg,"Hos Varde Fodboldgolf finder du hele 3 velplejede 18 huls baner, altså 54 huller. Det dækker et areal på hele 120.000 m2/ 12 hektar.
Banernes længde ligger imellem 1400 og 1600 meter. De har derudover også haft verdensmesterskab i fodboldgolf to gange, i 2012 og 2017, sidstnævnte i samarbejde med Filskov fodboldgolf.",Armvangvej 14,,6800 Varde,Vestjylland,Danmark,Sjov i Varde,18 hullers bane,"Ja, gratis",2007,https://www.youtube.com/embed/4I86gW-xDRY?feature=oembed,https://fodboldgolf.dk/baner/varde-fodboldgolf/,,
Vejen fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/vejen-fodboldgolf.jpg,Spil fodboldgolf på en flot 18 hullers bane,Haderslevvej 7,,6630 Rødding,Sydjylland,Danmark,Flot 18 hullers,18 hullers bane,"Ja, gratis",2012,,https://fodboldgolf.dk/baner/vejen-fodboldgolf/,,
Vejle fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Sjov 18 hullers bane,Lunden 2,,7182 Bredsten,Sydjylland,Danmark,Fodboldgolf på Jylland,18 hullers bane,"Ja, gratis",2010,,https://fodboldgolf.dk/baner/vejle-fodboldgolf/,http://vejlefodboldgolf.dk/,
Vendsyssel fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/vendsyssel-fodboldgolf-1-758x533.jpg,Flot 18 hullers bane i Jylland,Agerstedvej 5,,9340 Aså,Nordjylland,Danmark,Fodboldgolf i Jylland,18 hullers bane,"Ja, gratis",2011,https://www.youtube.com/embed/U43LgZxDYTE?feature=oembed,https://fodboldgolf.dk/baner/vendsyssel-fodboldgolf/,http://www.18spark.dk/,
Vestbjerg fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/10/vestbjerg-fodboldgolf-758x564.jpg,Spændende og sjov 18 hullers bane,Agdrupvej 10,,9380 Vestbjerg,Nordjylland,Danmark,Underholdende bane,18 hullers bane,"Ja, gratis",2014,https://www.youtube.com/embed/rJiDgB62GXg?feature=oembed,https://fodboldgolf.dk/baner/vestbjerg-fodboldgolf/,http://vestbjergfodboldgolf.com/,
Vesterhavets fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Sjov 18 hullers bane,Lystlundvej 1,,6990 Ulfborg,Vestjylland,Danmark,Sjov bane ved Vesterhavet,18 hullers bane,"Ja, gratis",2013,,https://fodboldgolf.dk/baner/vesterhavets-fodboldgolf/,,
Vestfyns Fodboldgolf,https://fodboldgolf.dk/wp-content/uploads/2020/09/fodboldgolf-758x564.jpg,Du finder masser af udfordringer på denne sjove fodboldgolfbane uanset om du er øvede eller begynder. Der er 18 huller og der er masser af timers underholdning for voksne og børn.,Fåborgvej 143,,5631 Ebberup,Fyn,Danmark,Flot bane på Vestfyn,18 hullers bane,Ja - Gratis,2009,,https://fodboldgolf.dk/baner/vestfyns-fodboldgolf/,https://vestfyns-fodboldgolf.dk/,
Ørsted Ørredvand,https://fodboldgolf.dk/wp-content/uploads/2020/10/fodboldgolf-oersted-oerredvand-758x493.jpg,Måske Sjællands sværeste/sjoveste bane!,Åbakkevej 13,,4130 Viby SJ,Vestsjælland,Danmark,Sjov og svær bane,18 hullers bane,"Ja, gratis",2020,,https://fodboldgolf.dk/baner/fisk-golf/,,
