Stadium,Capacity,City,Country,Region,Teams,Sports
Mountaineer Field at Milan Puskar Stadium,60000,"Morgantown, West Virginia",United States,North America,West Virginia Mountaineers football,American football
National Heroes Stadium,60000,Lusaka,Zambia,Africa,Zambia national football team,Association football
Abuja Stadium,60000,Abuja,Nigeria,Africa,Nigeria national football team,Association football
Lake Tanganyika Stadium,60000,Kigoma,Tanzania,Africa,Reli FC*,Association football
Benjamin Mkapa National Stadium,60000,Dar es Salaam,Tanzania,Africa,Tanzania national football team,Association football
Shenyang Olympic Sports Center Stadium,60000,"Shenyang, Liaoning",China,East Asia,,"Association football, athletics"
Stade Leopold Senghor,60000,Dakar,Senegal,Africa,"Senegal national football team, ASC Jeanne d'Arc",Association football
Moi International Sports Centre,60000,Nairobi,Kenya,Africa,Kenya national football team,Association football
Nanjing Olympic Sports Center,60000,"Nanjing, Jiangsu",China,East Asia,Jiangsu Sainty F.C.,"Association football, athletics"
National Sports Stadium,60000,Harare,Zimbabwe,Africa,Zimbabwe national football team,"Association football, athletics"
Odi Stadium,60000,Mabopane,South Africa,Africa,Garankuwa United,Association football
Tianhe Stadium,60000,"Guangzhou, Guangdong",China,East Asia,Guangzhou Evergrande F.C.,Association football
Tianjin Olympic Centre Stadium,60000,Tianjin,China,East Asia,Tianjin Teda F.C.,Association football
Ordos Sports Centre Stadium,60000,Ordos,China,East Asia,,Athletics
Wuhan Sports Center Stadium,60000,"Wuhan, Hubei",China,East Asia,Wuhan Zall F.C.,Association football
Hohhot City Stadium,60000,"Hohhot, Inner Mongolia",China,East Asia,local football teams,Association football
Jinan Olympic Sports Center Stadium,60000,"Jinan, Shandong",China,East Asia,Shandong Luneng Taishan F.C.,"Association football, athletics"
Hefei Olympic Sports Center Stadium,60000,"Hefei, Anhui",China,East Asia,local football teams,"Association football, athletics"
Harbin Sports City Center Stadium,60000,"Harbin, Heilongjiang",China,East Asia,local football teams,"Association football, athletics"
Guangxi Sports Center Stadium,60000,"Nanning, Guangxi",China,East Asia,local football teams,"Association football, athletics"
Haixia Olympic Center Stadium,59562,Fuzhou,China,East Asia,,Athletics
Liberty Bowl Memorial Stadium,59308,"Memphis, Tennessee",United States,North America,Memphis Tigers football,American football
Estadio Monumental Isidro Romero Carbo,59283,Guayaquil,Ecuador,South America,Barcelona Sporting Club,Association football
Parc Olympique Lyonnais,59186,Décines-Charpieu,France,Europe,Olympique Lyonnais,Association football
Chongqing Olympic Sports Center,58680,Chongqing,China,East Asia,Chongqing F.C.,Association football
PGE Stadion Narodowy,58580,Warsaw,Poland,Europe,Poland national football team,Association football
Cape Town Stadium,58309,Cape Town,RSA,Africa,Ajax Cape Town,Association football
Stadio San Nicola,58248,Bari,Italy,Europe,A.S. Bari,Association football
Arizona Stadium,57803,"Tucson, Arizona",United States,North America,Arizona Wildcats football,American football
Estadio de La Cartuja,57619,Seville,Spain,Europe,Spain national football team*,Association football
Carter–Finley Stadium,57583,"Raleigh, North Carolina",United States,North America,NC State Wolfpack football,American football
Volksparkstadion,57030,Hamburg,Germany,Europe,Hamburger SV,Association football
Estadio Mario Alberto Kempes,57000,Córdoba,Argentina,South America,,Association football
Shanghai Stadium,56842,Shanghai,China,East Asia,Shanghai SIPG F.C.,Association football
Estadio Jalisco,56713,Guadalajara,Mexico,North America,"Club Atlas, Leones Negros de la Universidad de Guadalajara, Club Deportivo Oro",Association football
Marvel Stadium,56347,Melbourne,Australia,Oceania,"Western Bulldogs, St Kilda FC, Carlton FC, Essendon FC, North Melbourne FC, Melbourne Renegades","Australian rules football, cricket, association football"
Commonwealth Stadium,56302,Edmonton,Canada,North America,"Edmonton Eskimos, FC Edmonton*","Canadian football, association football, rugby union, athletics"
Olympic Stadium,56040,Montreal,Canada,North America,"Montreal Alouettes*,[116] CF Montréal*[117]","Canadian football, baseball, association football"
Estádio Beira-Rio,56000,Porto Alegre,Brazil,South America,Sport Club Internacional,Association football
Stadium Puskás Ferenc,56000,Budapest,Hungary,Europe,Hungary national football team,Association football
Dodger Stadium,56000,Los Angeles,United States,North America,Los Angeles Dodgers,Baseball
Strahov Stadium,56000,Prague,Czech Republic,Europe,AC Sparta Praha*,Association football
Estadi Olímpic Lluís Companys,55926,Barcelona,Spain,Europe,,Athletics
Arena Națională,55634,Bucharest,Romania,Europe,Romania national football team,Association football
Municipal Corporation Stadium,55575,Kozhikode,India,South Asia,Viva Kerala,"Association football, cricket"
Stadion Crvena Zvezda,55538,Belgrade,Serbia,Europe,Red Star Belgrade,Association football
Estadio La Casa Blanca,55400,Quito,Ecuador,South America,Liga Deportiva Universitaria,Association football
Silesian Stadium,55211,Chorzów,Poland,Europe,"Poland national football team, Ruch Chorzów","Association football, speedway, athletics"
Etihad Stadium,55097,Manchester,United Kingdom,Europe,Manchester City F.C.,Association football
Gelora Bung Tomo Stadium,55000,Surabaya,Indonesia,Southeast Asia,Persebaya Surabaya,"Association football, athletics"
DY Patil Stadium,55000,Navi Mumbai,India,South Asia,Mumbai Indians*,Cricket
Greenfield International Stadium,55000,Thiruvananthapuram,India,South Asia,"India national cricket team, Kerala cricket team",Cricket and Association football[120]
Singapore National Stadium,55000,Singapore,Singapore,Southeast Asia,Singapore national football team,"Association football, rugby, cricket, athletics"
"Rajiv Gandhi International Cricket Stadium, Hyderabad",55000,Hyderabad,India,South Asia,"Hyderabad cricket team, Sunrisers Hyderabad",Cricket
Bobby Dodd Stadium,55000,Atlanta,United States,North America,Georgia Tech Yellow Jackets football,American football
Estadio Latinoamericano,55000,Havana,Cuba,South America,"Industriales, Metropolitanos",Baseball
Helong Stadium,55000,"Changsha, Hunan",China,East Asia,Hunan Billows F.C. (Hunan Xiangtao),Association football
Arun Jaitley Stadium,55000,Delhi,India,South Asia,"Delhi cricket team, Delhi Capitals",Cricket
Semple Stadium,55000,Thurles,Ireland,Europe,Tipperary GAA,"Hurling, Gaelic football"
National Stadium,55000,Kaohsiung,Taiwan,East Asia,,Association football
MCA Pune International Cricket Centre,55000,Pune,India,South Asia,Maharashtra Cricket Association,Cricket
Plovdiv Stadium,55000,Plovdiv,Bulgaria,Europe,junior football teams,"Association football, athletics"
Johan Cruyff Arena,54990,Amsterdam,Netherlands,Europe,Ajax Amsterdam,Association football
Esprit Arena,54600,Düsseldorf,Germany,Europe,Fortuna Düsseldorf,Association football
Boris Paichadze Stadium,54549,Tbilisi,Georgia,West Asia,"FC Dinamo Tbilisi, Georgia national football team, Georgia national rugby union team","Association football, rugby union"
Friends Arena,54329,Solna,Sweden,Europe,"AIK, Sweden national football team",Association football
BC Place,54320,Vancouver,Canada,North America,"BC Lions, Vancouver Whitecaps FC","Canadian football, association football"
Yankee Stadium,54251,New York City,United States,North America,"New York Yankees, New York City FC","Baseball, association football"
Hrazdan Stadium,54208,Yerevan,Armenia,West Asia,Armenia national football team,Association football
War Memorial Stadium,54120,"Little Rock, Arkansas",United States,North America,Arkansas Razorbacks football*[56],American football
Anfield,54074,Liverpool,United Kingdom,Europe,Liverpool F.C.,Association football
Borussia-Park,54067,Mönchengladbach,Germany,Europe,Borussia Mönchengladbach,Association football
Rogers Centre,54000,Toronto,Canada,North America,Toronto Blue Jays,Baseball
Moses Mabhida Stadium,54000,Durban,South Africa,Africa,,Association football
Autzen Stadium,54000,"Eugene, Oregon",United States,North America,Oregon Ducks football,American football
M. A. Chidambaram Stadium,54000,Chennai,India,South Asia,"Tamil Nadu cricket team, Chennai Super Kings",Cricket
Busan Asiad Stadium,53864,Busan,South Korea,East Asia,Busan IPark,Association football
Folsom Field,53750,"Boulder, Colorado",United States,North America,Colorado Buffaloes football,American football
Estadio Ciudad de La Plata,53600,La Plata,Argentina,South America,"Club de Gimnasia y Esgrima La Plata, Estudiantes de La Plata",Association football
Adelaide Oval,53583,Adelaide,Australia,Oceania,"Australia national cricket team*, Southern Redbacks, Adelaide Strikers, Adelaide Crows, Port Adelaide Power","Cricket, Australian rules football"
Estadio BBVA Bancomer,53500,Monterrey,Mexico,North America,C.F. Monterrey,Association football
Estadio Cuscatlán,53400,San Salvador,El Salvador,North America,"Alianza F.C., El Salvador national football team",Association football
Estádio Parque do Sabiá,53350,Uberlândia,Brazil,South America,Uberlândia Esporte Clube,Association football
San Mamés,53332,Bilbao,Spain,Europe,Athletic Bilbao,Association football
Aleppo International Stadium,53200,Aleppo,Syria,West Asia,Al-Ittihad,Association football
Ernst Happel Stadion,53008,Vienna,Austria,Europe,"Austria national football team, FK Austria Wien*, SK Rapid Wien*",Association football
Memorial Stadium,52692,"Bloomington, Indiana",United States,North America,Indiana Hoosiers football,American football
Türk Telekom Stadium,52652,Istanbul,Turkey,West Asia,Galatasaray S.K.,Association football
Franklin Field,52593,Philadelphia,United States,North America,Penn Quakers football,"American football, athletics"
Şükrü Saracoğlu Stadium,52530,Istanbul,Turkey,West Asia,Fenerbahçe S.K.,Association football
Donbass Arena,52518,Donetsk,Ukraine,Europe,Shaktar Donetsk,Association football
Lang Park,52500,Brisbane,Australia,Oceania,"Queensland Maroons, Brisbane Broncos, Queensland Reds, Brisbane Roar FC, Australia Kangaroos*, Australia Wallabies*, Australia Socceroos*","Rugby league, rugby union, association football"
Falcon Stadium,52480,"Colorado Springs, Colorado",United States,North America,Air Force Falcons football,American football
Estadio Mestalla,52469,Valencia,Spain,Europe,Valencia CF,Association football
High Point Solutions Stadium,52454,"Piscataway, New Jersey",United States,North America,Rutgers Scarlet Knights football,"American football, association football, lacrosse"
St James' Park,52387,Newcastle upon Tyne,United Kingdom,Europe,Newcastle United F.C.,Association football
Bill Snyder Family Football Stadium,52200,"Manhattan, Kansas",United States,North America,Kansas State Wildcats football,American football
Huainan Sports Stadium,52080,"Huainan, Anhui",China,East Asia,local football teams,Association football
Jonsson Kings Park Stadium,52000,Durban,South Africa,Africa,"Sharks, Sharks (Currie Cup), Golden Arrows, AmaZulu","Rugby union, association football"
Estádio do Dragão,52000,Porto,Portugal,Europe,FC Porto,Association football
Stade Moulay Abdellah,52000,Rabat,Morocco,Africa,FAR Rabat,Association football
Estadio Monumental de Maturín,52000,Maturín,Venezuela,South America,Monagas Sport Club,Association football
Stade Omnisports,52000,Yaoundé,Cameroon,Africa,"Tonnerre Yaoundé, Cameroon national football team",Association football
Guiyang Olympic Sports Center,52000,"Guiyang, Guizhou",China,East Asia,Guizhou Renhe F.C.,Association football
Hampden Park,51866,Glasgow,United Kingdom,Europe,"Scotland national football team, Queen's Park F.C.",Association football
Maryland Stadium,51802,"College Park, Maryland",United States,North America,Maryland Terrapins football,"American football, lacrosse"
Loftus Versfeld Stadium,51762,Pretoria,South Africa,Africa,"Bulls, Blue Bulls, South Africa national rugby union team*, Supersport United FC*","Rugby union, cricket, association football"
Aviva Stadium,51700,Dublin,Ireland,Europe,"Ireland national rugby union team, Republic of Ireland national football team","Rugby union, association football"
De Kuip (officially: Stadion Feijenoord),51577,Rotterdam,Netherlands,Europe,Feyenoord,Association football
Commerzbank-Arena,51500,Frankfurt,Germany,Europe,Eintracht Frankfurt,Association football
Kumasi Sports Stadium,51500,Kumasi,Ghana,Africa,"Asante Kotoko, King Faisal Babes",Association football
Sun Bowl Stadium,51500,"El Paso, Texas",United States,North America,UTEP Miners football,American football
Estadio Juan Domingo Perón,51389,Avellaneda,Argentina,South America,Racing Club de Avellaneda,Association football
Shizuoka Stadium,51349,Fukuroi,Japan,East Asia,"Júbilo Iwata*, Shimizu S-Pulse*",Association football
İzmir Atatürk Stadyumu,51295,Izmir,Turkey,West Asia,"Altay S.K.*, Göztepe SK,.*",Association football
Huanglong Stadium,51139,"Hangzhou, Zhejiang",China,East Asia,Hangzhou Greentown F.C.,Association football
Newlands Stadium,51100,Cape Town,South Africa,Africa,"Stormers, Western Province, South Africa national rugby union team*, Santos F.C.","Rugby union, association football"
Shaanxi Province Stadium,51000,"Xi'an, Shaanxi",China,East Asia,local football team,Association football
Dowdy–Ficklen Stadium,51000,"Greenville, North Carolina",United States,North America,East Carolina University Pirates football,American football
Independence Stadium,50832,"Shreveport, Louisiana",United States,North America,Independence Bowl,American football
Ibrox Stadium,50817,Glasgow,United Kingdom,Europe,Rangers F.C.,Association Football
TCF Bank Stadium,50805,Minneapolis,United States,North America,Minnesota Golden Gophers football,American football
Estádio José Alvalade,50466,Lisbon,Portugal,Europe,Sporting Clube de Portugal,Association football
Coors Field,50445,"Denver, Colorado",United States,North America,Colorado Rockies,Baseball
Incheon Munhak Stadium,50256,Incheon,South Korea,East Asia,Incheon Korail,Association football
Stade Pierre-Mauroy,50186,Villeneuve d'Ascq,France,Europe,Lille OSC,Association football
King Baudouin Stadium,50122,Brussels,Belgium,Europe,Belgium national football team,"Association football, athletics"
Ajinomoto Stadium,50100,Chofu,Japan,East Asia,"F.C. Tokyo, Tokyo Verdy",Association football
David Booth Kansas Memorial Stadium,50071,"Lawrence, Kansas",United States,North America,Kansas Jayhawks football,American football
Arena Fonte Nova,50000,Salvador,Brazil,South America,,Association football
Stade 19 Mai 1956,50000,Annaba,Algeria,Africa,USM Annaba,Association football
Za Lužánkami,50000,Brno,Czech Republic,Europe,Brno,Association football
JSCA International Cricket Stadium,50000,Ranchi,India,South Asia,"India national cricket team, Jharkhand cricket team",Cricket
Ekana International Cricket Stadium,50000,Lucknow,India,South Asia,Lucknow,Cricket
Kim Il-sung Stadium,50000,Pyongyang,North Korea,East Asia,Pyongyang City Sports Group,Association football
Aloha Stadium,50000,"Honolulu, Hawaii",United States,North America,Hawaiʻi Warriors football,"American football, baseball"
Charles Mopeli Stadium,50000,Phuthaditjhaba,South Africa,Africa,Free State Stars*,Association football
Eden Park,50000,Auckland,New Zealand,Oceania,"Auckland Blues, New Zealand national rugby union team*, Auckland Aces*, New Zealand national cricket team*","Rugby union, cricket"
Hiroshima Big Arch,50000,Hiroshima,Japan,East Asia,Sanfrecce Hiroshima,Association football
Jilin People's Stadium,50000,"Jilin City, Jilin",China,East Asia,local football teams,Association football
Khalifa International Stadium,50000,Doha,Qatar,West Asia,Qatar national football team,Association football
Nagai Stadium,50000,Osaka,Japan,East Asia,Cerezo Osaka,"Association football, athletics"
Phnom Pehn National Olympic Stadium,70000,Phnom Penh,Cambodia,Southeast Asia,Khemara,Association football
Stade 26 mars,50000,Bamako,Mali,Africa,Stade Malien,Association football
Stanford Stadium,50000,"Stanford, California",United States,North America,Stanford Cardinal football,American football
Sultan Mizan Zainal Abidin Stadium,50000,Kuala Terengganu,Malaysia,Southeast Asia,Terengganu FA*,"Association football, athletics"
Pars Stadium,50000,Shiraz,Iran,West Asia,,Association football
Henan Provincial Stadium,50000,"Zhengzhou, Henan",China,East Asia,local football teams,Association football
Xinjiang Sports Centre,50000,"Ürümqi, Xinjiang",China,East Asia,local football teams,Association football
Yanji People's Stadium,50000,"Yanji, Jilin",China,East Asia,local football teams,Association football
Estádio 11 de Novembro,50000,Luanda,Angola,Africa,,Association football
Red Bull Arena,50000,Leipzig,Germany,Europe,RB Leipzig,Association football
Guangzhou University City Stadium,50000,"Guangzhou, Guangdong",China,East Asia,local football teams,Association football
Jiangxi Olympic Sports Center,50000,"Nanchang, Jiangxi",China,East Asia,local football teams,"Association football, athletics"
Shaheed Veer Narayan Singh International Cricket Stadium,50000,Raipur,India,South Asia,local teams,Cricket
RheinEnergieStadion,49968,Cologne,Germany,Europe,1. FC Köln,Association football
Gaelic Grounds,49866,Limerick,Ireland,Europe,Limerick GAA,"Hurling, Gaelic football"
Estadio Omnilife,49850,Zapopan,Mexico,North America,Club Deportivo Guadalajara,Association football
Fritz-Walter-Stadion,49780,Kaiserslautern,Germany,Europe,1. FC Kaiserslautern,Association football
Rajamangala Stadium,49722,Bangkok,Thailand,Southeast Asia,Thailand national football team,Association football
José Amalfitani Stadium,49540,Buenos Aires,Argentina,South America,"Club Atlético Vélez Sarsfield, Argentina national rugby union team*, Jaguares","Association football, rugby union"
Camille Chamoun Sports City Stadium,49500,Beirut,Lebanon,West Asia,Lebanon national football team,Association football
Ryan Field,49256,"Evanston, Illinois",United States,North America,Northwestern Wildcats football,American football
Carrier Dome,49250,"Syracuse, New York",United States,North America,"Syracuse Orange football, Syracuse Orange men's basketball, Syracuse Orange men's lacrosse, Syracuse Orange women's basketball","American football, basketball, lacrosse"
Miyagi Stadium,49133,Rifu,Japan,East Asia,Vegalta Sendai*,"Association football, athletics"
Globe Life Park in Arlington,49115,"Arlington, Texas",United States,North America,"Dallas Renegades, North Texas SC","American football, association football"
Chase Field,49033,"Phoenix, Arizona",United States,North America,Arizona Diamondbacks,Baseball
AWD-Arena,49000,Hanover,Germany,Europe,Hannover 96,Association football
Stadium of Light,49000,Sunderland,United Kingdom,Europe,Sunderland A.F.C.,Association football
Estadio Alberto J. Armando (La Bombonera),49000,Buenos Aires,Argentina,South America,Club Atlético Boca Juniors,Association football
Queensland Sport and Athletics Centre,49000,Brisbane,Australia,Oceania,,"Rugby league, Athletics"
Oriole Park at Camden Yards,48876,Baltimore,United States,North America,Baltimore Orioles,Baseball
Jinnah Sports Stadium,48800,Islamabad,Pakistan,South Asia,Pakistan national football team*,"Association football, cricket, hockey"
Parc des Princes,48712,Paris,France,Europe,Paris Saint-Germain,Association football
Frankenstadion,48548,Nuremberg,Germany,Europe,1. FC Nürnberg,Association football
Nelson Mandela Bay Stadium,48459,Port Elizabeth,South Africa,Africa,"Southern Kings, Eastern Province Elephants","Rugby union, association football"
Estadio Tomás Adolfo Ducó,48314,Buenos Aires,Argentina,South America,Club Atlético Huracán,Association football
T-Mobile Park,48116,Seattle,United States,North America,Seattle Mariners,Baseball
Harbin ICE Sports Center,48000,Harbin,China,East Asia,,Athletics
Sydney Cricket Ground,48000,Sydney,Australia,Oceania,"Australia national cricket team*, Sydney Roosters, New South Wales Blues (cricket), Sydney 6ers, Sydney Swans, Sydney FC","Cricket, Australian rules football, rugby league, Association football"
Estadio Malvinas Argentinas,48000,Mendoza,Argentina,South America,Ciudad de Mendoza,Association football
Koshien Stadium,47757,Nishinomiya,Japan,East Asia,Hanshin Tigers,Baseball
Fisht Olympic Stadium,47659,Sochi,Russia,Europe,PFC Sochi,"Association football, athletics"
